Category,Name,Count,Details
Tested Method,__init__,18,Called 18 times in tests
Tested Method,add_item,63,Called 63 times in tests
Tested Method,remove_item,9,Called 9 times in tests
Tested Method,get_subtotal,6,Called 6 times in tests
Tested Method,apply_discount,11,Called 11 times in tests
Tested Method,calculate_shipping,8,Called 8 times in tests
Tested Method,calculate_tax,6,Called 6 times in tests
Tested Method,calculate_total,12,Called 12 times in tests
Tested Method,total_items,5,Called 5 times in tests
Tested Method,list_items,4,Called 4 times in tests
Tested Method,is_empty,4,Called 4 times in tests
Tested Method,clear_order,4,Called 4 times in tests
Potential Duplicate,test_init_with_zero_tax_rate <-> test_init_with_max_tax_rate,100.0,"Similarity: 100.0% (lines 22, 26)"
Potential Duplicate,test_init_with_zero_tax_rate <-> test_init_with_zero_shipping_threshold,100.0,"Similarity: 100.0% (lines 22, 30)"
Potential Duplicate,test_init_with_zero_tax_rate <-> test_init_with_zero_shipping_cost,100.0,"Similarity: 100.0% (lines 22, 34)"
Potential Duplicate,test_init_with_max_tax_rate <-> test_init_with_zero_shipping_threshold,100.0,"Similarity: 100.0% (lines 26, 30)"
Potential Duplicate,test_init_with_max_tax_rate <-> test_init_with_zero_shipping_cost,100.0,"Similarity: 100.0% (lines 26, 34)"
Potential Duplicate,test_init_with_zero_shipping_threshold <-> test_init_with_zero_shipping_cost,100.0,"Similarity: 100.0% (lines 30, 34)"
Potential Duplicate,test_add_item_single_item <-> test_add_item_multiple_different_items,86.7,"Similarity: 86.7% (lines 66, 73)"
Potential Duplicate,test_add_item_single_item <-> test_add_item_with_default_quantity,85.7,"Similarity: 85.7% (lines 66, 78)"
Potential Duplicate,test_add_item_single_item <-> test_add_item_same_name_same_price_updates_quantity,90.0,"Similarity: 90.0% (lines 66, 82)"
Potential Duplicate,test_add_item_single_item <-> test_add_item_with_float_price,82.5,"Similarity: 82.5% (lines 66, 88)"
