Category,Name,Count,Details
Tested Method,__init__,15,Called 15 times in tests
Tested Method,add_item,39,Called 39 times in tests
Tested Method,remove_item,5,Called 5 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,10,Called 10 times in tests
Tested Method,calculate_shipping,5,Called 5 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,7,Called 7 times in tests
Tested Method,total_items,3,Called 3 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,6,Called 6 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_init_tax_rate_lower_boundary <-> test_init_tax_rate_upper_boundary,100.0,"Similarity: 100.0% (lines 25, 29)"
Potential Duplicate,test_init_tax_rate_lower_boundary <-> test_init_shipping_cost_and_threshold_zero,100.0,"Similarity: 100.0% (lines 25, 33)"
Potential Duplicate,test_init_tax_rate_upper_boundary <-> test_init_shipping_cost_and_threshold_zero,100.0,"Similarity: 100.0% (lines 29, 33)"
Potential Duplicate,test_init_invalid_tax_rate_low <-> test_init_invalid_tax_rate_high,86.7,"Similarity: 86.7% (lines 38, 42)"
Potential Duplicate,test_add_single_item <-> test_add_multiple_distinct_items,87.5,"Similarity: 87.5% (lines 66, 71)"
Potential Duplicate,test_add_single_item <-> test_add_item_default_quantity,82.9,"Similarity: 82.9% (lines 66, 78)"
Potential Duplicate,test_add_single_item <-> test_add_existing_item_increase_quantity,82.2,"Similarity: 82.2% (lines 66, 82)"
Potential Duplicate,test_add_multiple_distinct_items <-> test_add_existing_item_increase_quantity,82.0,"Similarity: 82.0% (lines 71, 82)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_existing_item_increase_quantity,82.9,"Similarity: 82.9% (lines 78, 82)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_incorrect_type_name,85.0,"Similarity: 85.0% (lines 88, 113)"
