Category,Name,Count,Details
Tested Method,__init__,11,Called 11 times in tests
Tested Method,add_item,33,Called 33 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,8,Called 8 times in tests
Tested Method,total_items,3,Called 3 times in tests
Tested Method,list_items,2,Called 2 times in tests
Tested Method,is_empty,3,Called 3 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_init_raises_value_error_for_negative_shipping_threshold <-> test_init_raises_value_error_for_negative_shipping_cost,100.0,"Similarity: 100.0% (lines 35, 39)"
Potential Duplicate,test_add_item_new <-> test_add_multiple_items,86.7,"Similarity: 86.7% (lines 51, 56)"
Potential Duplicate,test_add_item_new <-> test_add_item_existing_updates_quantity,90.0,"Similarity: 90.0% (lines 51, 61)"
Potential Duplicate,test_add_multiple_items <-> test_add_item_existing_updates_quantity,90.0,"Similarity: 90.0% (lines 56, 61)"
Potential Duplicate,test_add_multiple_items <-> test_get_subtotal_multiple_items,80.5,"Similarity: 80.5% (lines 56, 113)"
Potential Duplicate,test_add_multiple_items <-> test_total_items_returns_sum_of_quantities,80.5,"Similarity: 80.5% (lines 56, 208)"
Potential Duplicate,test_add_item_raises_value_error_for_same_name_different_price <-> test_add_item_raises_value_error_for_non_positive_price,85.0,"Similarity: 85.0% (lines 67, 76)"
Potential Duplicate,test_add_item_raises_value_error_for_same_name_different_price <-> test_add_item_raises_value_error_for_quantity_less_than_one,86.7,"Similarity: 86.7% (lines 67, 82)"
Potential Duplicate,test_add_item_raises_value_error_for_same_name_different_price <-> test_add_item_raises_type_error_for_invalid_types,84.0,"Similarity: 84.0% (lines 67, 88)"
Potential Duplicate,test_add_item_raises_value_error_for_non_positive_price <-> test_add_item_raises_value_error_for_quantity_less_than_one,90.0,"Similarity: 90.0% (lines 76, 82)"
