Category,Name,Count,Details
Tested Method,__init__,53,Called 53 times in tests
Tested Method,add_item,27,Called 27 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,4,Called 4 times in tests
Tested Method,total_items,2,Called 2 times in tests
Tested Method,list_items,1,Called 1 times in tests
Tested Method,is_empty,3,Called 3 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_init_negative_threshold <-> test_init_negative_shipping_cost,100.0,"Similarity: 100.0% (lines 39, 43)"
Potential Duplicate,test_add_item_success <-> test_add_item_quantity_increment,90.0,"Similarity: 90.0% (lines 47, 55)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_type_error_quantity,85.0,"Similarity: 85.0% (lines 62, 72)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_empty_name,90.0,"Similarity: 90.0% (lines 62, 77)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_invalid_quantity_zero,86.7,"Similarity: 86.7% (lines 62, 92)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_invalid_quantity_negative,86.7,"Similarity: 86.7% (lines 62, 97)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_price_mismatch,85.0,"Similarity: 85.0% (lines 62, 102)"
Potential Duplicate,test_add_item_type_error_price <-> test_add_item_type_error_quantity,85.0,"Similarity: 85.0% (lines 67, 72)"
Potential Duplicate,test_add_item_type_error_price <-> test_add_item_invalid_price_zero,90.0,"Similarity: 90.0% (lines 67, 82)"
Potential Duplicate,test_add_item_type_error_price <-> test_add_item_invalid_price_negative,90.0,"Similarity: 90.0% (lines 67, 87)"
