Category,Name,Count,Details
Tested Method,__init__,50,Called 50 times in tests
Tested Method,add_item,25,Called 25 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,5,Called 5 times in tests
Tested Method,total_items,1,Called 1 times in tests
Tested Method,list_items,1,Called 1 times in tests
Tested Method,is_empty,3,Called 3 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_add_item_valid <-> test_add_item_update_quantity,86.7,"Similarity: 86.7% (lines 47, 53)"
Potential Duplicate,test_add_item_valid <-> test_add_item_default_quantity,82.5,"Similarity: 82.5% (lines 47, 60)"
Potential Duplicate,test_add_item_update_quantity <-> test_add_item_default_quantity,82.5,"Similarity: 82.5% (lines 53, 60)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_invalid_name_value_empty,90.0,"Similarity: 90.0% (lines 65, 70)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_invalid_price_value,90.0,"Similarity: 90.0% (lines 75, 80)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_invalid_quantity_type,85.0,"Similarity: 85.0% (lines 75, 85)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_invalid_quantity_value,86.7,"Similarity: 86.7% (lines 75, 90)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_duplicate_name_diff_price,85.0,"Similarity: 85.0% (lines 75, 95)"
Potential Duplicate,test_add_item_invalid_price_value <-> test_add_item_invalid_quantity_type,86.7,"Similarity: 86.7% (lines 80, 85)"
Potential Duplicate,test_add_item_invalid_price_value <-> test_add_item_invalid_quantity_value,90.0,"Similarity: 90.0% (lines 80, 90)"
