Category,Name,Count,Details
Tested Method,__init__,93,Called 93 times in tests
Tested Method,add_item,66,Called 66 times in tests
Tested Method,remove_item,11,Called 11 times in tests
Tested Method,get_subtotal,14,Called 14 times in tests
Tested Method,apply_discount,11,Called 11 times in tests
Tested Method,calculate_shipping,9,Called 9 times in tests
Tested Method,calculate_tax,7,Called 7 times in tests
Tested Method,calculate_total,13,Called 13 times in tests
Tested Method,total_items,12,Called 12 times in tests
Tested Method,list_items,6,Called 6 times in tests
Tested Method,is_empty,10,Called 10 times in tests
Tested Method,clear_order,7,Called 7 times in tests
Potential Duplicate,test_init_zero_tax_rate <-> test_init_zero_free_shipping_threshold,100.0,"Similarity: 100.0% (lines 18, 22)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_explicit_quantity,93.3,"Similarity: 93.3% (lines 38, 43)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_multiple_different_items,85.7,"Similarity: 85.7% (lines 38, 48)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_same_item_twice,88.0,"Similarity: 88.0% (lines 38, 54)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_large_quantity,86.7,"Similarity: 86.7% (lines 38, 75)"
Potential Duplicate,test_add_item_default_quantity <-> test_total_items_multiple_items,83.3,"Similarity: 83.3% (lines 38, 361)"
Potential Duplicate,test_add_item_default_quantity <-> test_total_items_with_quantities,86.7,"Similarity: 86.7% (lines 38, 367)"
Potential Duplicate,test_add_item_explicit_quantity <-> test_add_multiple_different_items,88.6,"Similarity: 88.6% (lines 43, 48)"
Potential Duplicate,test_add_item_explicit_quantity <-> test_add_same_item_twice,92.0,"Similarity: 92.0% (lines 43, 54)"
Potential Duplicate,test_add_item_explicit_quantity <-> test_add_item_large_quantity,85.0,"Similarity: 85.0% (lines 43, 75)"
