Category,Name,Count,Details
Tested Method,__init__,87,Called 87 times in tests
Tested Method,add_item,71,Called 71 times in tests
Tested Method,remove_item,10,Called 10 times in tests
Tested Method,get_subtotal,19,Called 19 times in tests
Tested Method,apply_discount,7,Called 7 times in tests
Tested Method,calculate_shipping,13,Called 13 times in tests
Tested Method,calculate_tax,9,Called 9 times in tests
Tested Method,calculate_total,18,Called 18 times in tests
Tested Method,total_items,11,Called 11 times in tests
Tested Method,list_items,8,Called 8 times in tests
Tested Method,is_empty,9,Called 9 times in tests
Tested Method,clear_order,5,Called 5 times in tests
Potential Duplicate,test_init_default_parameters <-> test_init_custom_parameters,88.6,"Similarity: 88.6% (lines 6, 12)"
Potential Duplicate,test_init_zero_tax_rate <-> test_init_high_tax_rate,100.0,"Similarity: 100.0% (lines 18, 31)"
Potential Duplicate,test_init_zero_tax_rate <-> test_calculate_tax_positive_amount,90.0,"Similarity: 90.0% (lines 18, 318)"
Potential Duplicate,test_init_zero_tax_rate <-> test_calculate_tax_negative_amount,90.0,"Similarity: 90.0% (lines 18, 328)"
Potential Duplicate,test_init_zero_tax_rate <-> test_calculate_tax_with_custom_rate,86.7,"Similarity: 86.7% (lines 18, 333)"
Potential Duplicate,test_init_zero_shipping_threshold <-> test_init_zero_shipping_cost,100.0,"Similarity: 100.0% (lines 22, 27)"
Potential Duplicate,test_init_zero_shipping_threshold <-> test_calculate_shipping_below_threshold,90.0,"Similarity: 90.0% (lines 22, 288)"
Potential Duplicate,test_init_zero_shipping_cost <-> test_calculate_shipping_below_threshold,90.0,"Similarity: 90.0% (lines 27, 288)"
Potential Duplicate,test_init_high_tax_rate <-> test_calculate_tax_positive_amount,90.0,"Similarity: 90.0% (lines 31, 318)"
Potential Duplicate,test_init_high_tax_rate <-> test_calculate_tax_negative_amount,90.0,"Similarity: 90.0% (lines 31, 328)"
