Category,Name,Count,Details
Tested Method,__init__,10,Called 10 times in tests
Tested Method,add_item,29,Called 29 times in tests
Tested Method,remove_item,4,Called 4 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,6,Called 6 times in tests
Tested Method,calculate_shipping,8,Called 8 times in tests
Tested Method,calculate_tax,5,Called 5 times in tests
Tested Method,calculate_total,5,Called 5 times in tests
Tested Method,total_items,6,Called 6 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,6,Called 6 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_init_default_values <-> test_init_custom_values,84.0,"Similarity: 84.0% (lines 9, 16)"
Potential Duplicate,test_add_item_with_quantity <-> test_add_item_existing_increment_quantity,88.0,"Similarity: 88.0% (lines 47, 51)"
Potential Duplicate,test_add_item_with_quantity <-> test_total_items_sum_quantities,82.9,"Similarity: 82.9% (lines 47, 182)"
Potential Duplicate,test_add_item_existing_increment_quantity <-> test_total_items_sum_quantities,85.7,"Similarity: 85.7% (lines 51, 182)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_negative_price,90.0,"Similarity: 90.0% (lines 56, 64)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_quantity_less_than_one,90.0,"Similarity: 90.0% (lines 56, 68)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_existing_name_different_price,86.7,"Similarity: 86.7% (lines 56, 72)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_invalid_types,85.0,"Similarity: 85.0% (lines 56, 77)"
Potential Duplicate,test_add_item_zero_price <-> test_add_item_negative_price,90.0,"Similarity: 90.0% (lines 60, 64)"
Potential Duplicate,test_add_item_zero_price <-> test_add_item_quantity_less_than_one,90.0,"Similarity: 90.0% (lines 60, 68)"
