Category,Name,Count,Details
Tested Method,__init__,87,Called 87 times in tests
Tested Method,add_item,56,Called 56 times in tests
Tested Method,remove_item,6,Called 6 times in tests
Tested Method,get_subtotal,5,Called 5 times in tests
Tested Method,apply_discount,10,Called 10 times in tests
Tested Method,calculate_shipping,6,Called 6 times in tests
Tested Method,calculate_tax,5,Called 5 times in tests
Tested Method,calculate_total,11,Called 11 times in tests
Tested Method,total_items,10,Called 10 times in tests
Tested Method,list_items,5,Called 5 times in tests
Tested Method,is_empty,8,Called 8 times in tests
Tested Method,clear_order,5,Called 5 times in tests
Potential Duplicate,test_init_tax_rate_zero <-> test_init_tax_rate_one,100.0,"Similarity: 100.0% (lines 18, 22)"
Potential Duplicate,test_init_tax_rate_zero <-> test_init_free_shipping_threshold_zero,100.0,"Similarity: 100.0% (lines 18, 26)"
Potential Duplicate,test_init_tax_rate_zero <-> test_init_shipping_cost_zero,100.0,"Similarity: 100.0% (lines 18, 30)"
Potential Duplicate,test_init_tax_rate_one <-> test_init_free_shipping_threshold_zero,100.0,"Similarity: 100.0% (lines 22, 26)"
Potential Duplicate,test_init_tax_rate_one <-> test_init_shipping_cost_zero,100.0,"Similarity: 100.0% (lines 22, 30)"
Potential Duplicate,test_init_free_shipping_threshold_zero <-> test_init_shipping_cost_zero,100.0,"Similarity: 100.0% (lines 26, 30)"
Potential Duplicate,test_init_negative_free_shipping_threshold_raises_value_error <-> test_init_shipping_cost_list_raises_type_error,100.0,"Similarity: 100.0% (lines 42, 58)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_explicit_quantity,93.3,"Similarity: 93.3% (lines 62, 67)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_multiple_different_items,85.7,"Similarity: 85.7% (lines 62, 72)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_same_item_twice_increases_quantity,88.0,"Similarity: 88.0% (lines 62, 78)"
