Category,Name,Count,Details
Tested Method,__init__,65,Called 65 times in tests
Tested Method,add_item,40,Called 40 times in tests
Tested Method,remove_item,5,Called 5 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,5,Called 5 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,9,Called 9 times in tests
Tested Method,total_items,3,Called 3 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,7,Called 7 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_init_type_error_tax_rate <-> test_init_type_error_free_shipping_threshold,100.0,"Similarity: 100.0% (lines 37, 41)"
Potential Duplicate,test_init_type_error_tax_rate <-> test_init_type_error_shipping_cost,100.0,"Similarity: 100.0% (lines 37, 45)"
Potential Duplicate,test_init_type_error_free_shipping_threshold <-> test_init_type_error_shipping_cost,100.0,"Similarity: 100.0% (lines 41, 45)"
Potential Duplicate,test_add_item_single_new_item <-> test_add_item_multiple_different_items,92.5,"Similarity: 92.5% (lines 49, 54)"
Potential Duplicate,test_add_item_single_new_item <-> test_add_item_existing_item_increases_quantity,94.3,"Similarity: 94.3% (lines 49, 60)"
Potential Duplicate,test_add_item_single_new_item <-> test_add_item_with_custom_quantity,87.5,"Similarity: 87.5% (lines 49, 66)"
Potential Duplicate,test_add_item_multiple_different_items <-> test_add_item_existing_item_increases_quantity,93.3,"Similarity: 93.3% (lines 54, 60)"
Potential Duplicate,test_add_item_multiple_different_items <-> test_add_item_with_custom_quantity,85.5,"Similarity: 85.5% (lines 54, 66)"
Potential Duplicate,test_add_item_multiple_different_items <-> test_remove_item_existing_item,80.8,"Similarity: 80.8% (lines 54, 112)"
Potential Duplicate,test_add_item_existing_item_increases_quantity <-> test_add_item_with_custom_quantity,86.0,"Similarity: 86.0% (lines 60, 66)"
