Category,Name,Count,Details
Tested Method,__init__,12,Called 12 times in tests
Tested Method,add_item,31,Called 31 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,7,Called 7 times in tests
Tested Method,total_items,6,Called 6 times in tests
Tested Method,list_items,6,Called 6 times in tests
Tested Method,is_empty,7,Called 7 times in tests
Tested Method,clear_order,3,Called 3 times in tests
Potential Duplicate,test_init_invalid_shipping_threshold_raises_value_error <-> test_init_invalid_shipping_cost_raises_value_error,100.0,"Similarity: 100.0% (lines 37, 41)"
Potential Duplicate,test_add_item_single <-> test_add_item_multiple_unique,86.7,"Similarity: 86.7% (lines 53, 58)"
Potential Duplicate,test_add_item_empty_name_raises_value_error <-> test_add_item_invalid_price_raises_value_error,90.0,"Similarity: 90.0% (lines 71, 75)"
Potential Duplicate,test_add_item_empty_name_raises_value_error <-> test_add_item_invalid_quantity_raises_value_error,90.0,"Similarity: 90.0% (lines 71, 81)"
Potential Duplicate,test_add_item_empty_name_raises_value_error <-> test_add_item_same_name_different_price_raises_value_error,86.7,"Similarity: 86.7% (lines 71, 87)"
Potential Duplicate,test_add_item_empty_name_raises_value_error <-> test_add_item_invalid_types_raise_type_error,84.0,"Similarity: 84.0% (lines 71, 92)"
Potential Duplicate,test_add_item_invalid_price_raises_value_error <-> test_add_item_invalid_quantity_raises_value_error,100.0,"Similarity: 100.0% (lines 75, 81)"
Potential Duplicate,test_add_item_invalid_price_raises_value_error <-> test_add_item_same_name_different_price_raises_value_error,93.3,"Similarity: 93.3% (lines 75, 87)"
Potential Duplicate,test_add_item_invalid_price_raises_value_error <-> test_add_item_invalid_types_raise_type_error,88.0,"Similarity: 88.0% (lines 75, 92)"
Potential Duplicate,test_add_item_invalid_quantity_raises_value_error <-> test_add_item_same_name_different_price_raises_value_error,93.3,"Similarity: 93.3% (lines 81, 87)"
