Category,Name,Count,Details
Tested Method,__init__,47,Called 47 times in tests
Tested Method,add_item,25,Called 25 times in tests
Tested Method,remove_item,4,Called 4 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,6,Called 6 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,6,Called 6 times in tests
Tested Method,total_items,5,Called 5 times in tests
Tested Method,list_items,4,Called 4 times in tests
Tested Method,is_empty,6,Called 6 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_init_custom_values <-> test_calculate_tax_normal,82.9,"Similarity: 82.9% (lines 10, 165)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_invalid_quantity,90.0,"Similarity: 90.0% (lines 47, 57)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_different_price_same_name,86.7,"Similarity: 86.7% (lines 47, 62)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_type_error,90.0,"Similarity: 90.0% (lines 47, 68)"
Potential Duplicate,test_add_item_invalid_price <-> test_add_item_invalid_quantity,90.0,"Similarity: 90.0% (lines 52, 57)"
Potential Duplicate,test_add_item_invalid_price <-> test_add_item_different_price_same_name,86.7,"Similarity: 86.7% (lines 52, 62)"
Potential Duplicate,test_add_item_invalid_quantity <-> test_add_item_different_price_same_name,93.3,"Similarity: 93.3% (lines 57, 62)"
Potential Duplicate,test_add_item_invalid_quantity <-> test_add_item_type_error,86.7,"Similarity: 86.7% (lines 57, 68)"
Potential Duplicate,test_add_item_different_price_same_name <-> test_add_item_type_error,85.0,"Similarity: 85.0% (lines 62, 68)"
Potential Duplicate,test_remove_item_success <-> test_is_empty_after_removal,86.7,"Similarity: 86.7% (lines 73, 244)"
