Category,Name,Count,Details
Tested Method,__init__,10,Called 10 times in tests
Tested Method,add_item,42,Called 42 times in tests
Tested Method,remove_item,4,Called 4 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,8,Called 8 times in tests
Tested Method,total_items,3,Called 3 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,4,Called 4 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_add_single_item <-> test_add_multiple_items,92.5,"Similarity: 92.5% (lines 49, 54)"
Potential Duplicate,test_add_single_item <-> test_add_existing_item_increases_quantity,88.6,"Similarity: 88.6% (lines 49, 60)"
Potential Duplicate,test_add_multiple_items <-> test_add_existing_item_increases_quantity,88.9,"Similarity: 88.9% (lines 54, 60)"
Potential Duplicate,test_add_item_invalid_name_empty <-> test_add_item_invalid_name_type,90.0,"Similarity: 90.0% (lines 71, 75)"
Potential Duplicate,test_add_item_invalid_price_zero <-> test_add_item_invalid_price_negative,90.0,"Similarity: 90.0% (lines 79, 83)"
Potential Duplicate,test_add_item_invalid_price_zero <-> test_add_item_invalid_price_type,90.0,"Similarity: 90.0% (lines 79, 87)"
Potential Duplicate,test_add_item_invalid_price_negative <-> test_add_item_invalid_price_type,86.7,"Similarity: 86.7% (lines 83, 87)"
Potential Duplicate,test_add_item_invalid_quantity_zero <-> test_add_item_invalid_quantity_negative,100.0,"Similarity: 100.0% (lines 91, 95)"
Potential Duplicate,test_add_item_invalid_quantity_zero <-> test_add_item_invalid_quantity_type,90.0,"Similarity: 90.0% (lines 91, 99)"
Potential Duplicate,test_add_item_invalid_quantity_negative <-> test_add_item_invalid_quantity_type,90.0,"Similarity: 90.0% (lines 95, 99)"
