Category,Name,Count,Details
Tested Method,__init__,11,Called 11 times in tests
Tested Method,add_item,31,Called 31 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,6,Called 6 times in tests
Tested Method,total_items,3,Called 3 times in tests
Tested Method,list_items,2,Called 2 times in tests
Tested Method,is_empty,3,Called 3 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_init_invalid_tax_rate_type <-> test_init_invalid_shipping_threshold_type,100.0,"Similarity: 100.0% (lines 23, 33)"
Potential Duplicate,test_init_invalid_tax_rate_type <-> test_init_invalid_shipping_cost_type,100.0,"Similarity: 100.0% (lines 23, 41)"
Potential Duplicate,test_init_invalid_shipping_threshold_type <-> test_init_invalid_shipping_cost_type,100.0,"Similarity: 100.0% (lines 33, 41)"
Potential Duplicate,test_add_item_new <-> test_add_item_existing,82.2,"Similarity: 82.2% (lines 49, 54)"
Potential Duplicate,test_add_item_new <-> test_add_item_default_quantity,82.9,"Similarity: 82.9% (lines 49, 60)"
Potential Duplicate,test_add_item_existing <-> test_add_item_default_quantity,82.9,"Similarity: 82.9% (lines 54, 60)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_empty_name,90.0,"Similarity: 90.0% (lines 64, 68)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_invalid_price_value,86.7,"Similarity: 86.7% (lines 64, 76)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_invalid_quantity_type,85.0,"Similarity: 85.0% (lines 64, 82)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_invalid_quantity_value,86.7,"Similarity: 86.7% (lines 64, 86)"
