Category,Name,Count,Details
Tested Method,__init__,10,Called 10 times in tests
Tested Method,add_item,25,Called 25 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,7,Called 7 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,4,Called 4 times in tests
Tested Method,total_items,2,Called 2 times in tests
Tested Method,list_items,1,Called 1 times in tests
Tested Method,is_empty,4,Called 4 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_init_type_error_threshold <-> test_init_value_error_threshold_negative,100.0,"Similarity: 100.0% (lines 25, 41)"
Potential Duplicate,test_init_type_error_threshold <-> test_init_value_error_shipping_cost_negative,100.0,"Similarity: 100.0% (lines 25, 45)"
Potential Duplicate,test_init_value_error_threshold_negative <-> test_init_value_error_shipping_cost_negative,100.0,"Similarity: 100.0% (lines 41, 45)"
Potential Duplicate,test_add_item_success <-> test_add_item_default_quantity,82.5,"Similarity: 82.5% (lines 49, 56)"
Potential Duplicate,test_add_item_success <-> test_add_item_increment_existing,84.4,"Similarity: 84.4% (lines 49, 60)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_increment_existing,82.9,"Similarity: 82.9% (lines 56, 60)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_type_error_quantity,85.0,"Similarity: 85.0% (lines 66, 74)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_value_error_empty_name,90.0,"Similarity: 90.0% (lines 66, 78)"
Potential Duplicate,test_add_item_type_error_name <-> test_add_item_value_error_invalid_quantity,86.7,"Similarity: 86.7% (lines 66, 82)"
Potential Duplicate,test_add_item_type_error_price <-> test_add_item_type_error_quantity,85.0,"Similarity: 85.0% (lines 70, 74)"
