Category,Name,Count,Details
Tested Method,__init__,11,Called 11 times in tests
Tested Method,add_item,27,Called 27 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,4,Called 4 times in tests
Tested Method,total_items,2,Called 2 times in tests
Tested Method,list_items,2,Called 2 times in tests
Tested Method,is_empty,3,Called 3 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_add_item_valid <-> test_add_item_existing_update_quantity,90.0,"Similarity: 90.0% (lines 50, 55)"
Potential Duplicate,test_add_item_valid <-> test_add_item_default_quantity,82.5,"Similarity: 82.5% (lines 50, 61)"
Potential Duplicate,test_add_item_existing_update_quantity <-> test_add_item_default_quantity,82.5,"Similarity: 82.5% (lines 55, 61)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_invalid_name_empty,90.0,"Similarity: 90.0% (lines 65, 69)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_invalid_price_value,90.0,"Similarity: 90.0% (lines 73, 77)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_invalid_quantity_type,86.7,"Similarity: 86.7% (lines 73, 83)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_invalid_quantity_value,90.0,"Similarity: 90.0% (lines 73, 87)"
Potential Duplicate,test_add_item_invalid_price_type <-> test_add_item_same_name_different_price,86.7,"Similarity: 86.7% (lines 73, 91)"
Potential Duplicate,test_add_item_invalid_price_value <-> test_add_item_invalid_quantity_type,90.0,"Similarity: 90.0% (lines 77, 83)"
Potential Duplicate,test_add_item_invalid_price_value <-> test_add_item_invalid_quantity_value,100.0,"Similarity: 100.0% (lines 77, 87)"
