Category,Name,Count,Details
Tested Method,__init__,8,Called 8 times in tests
Tested Method,add_item,38,Called 38 times in tests
Tested Method,remove_item,5,Called 5 times in tests
Tested Method,get_subtotal,5,Called 5 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,9,Called 9 times in tests
Tested Method,calculate_tax,7,Called 7 times in tests
Tested Method,calculate_total,7,Called 7 times in tests
Tested Method,total_items,8,Called 8 times in tests
Tested Method,list_items,4,Called 4 times in tests
Tested Method,is_empty,7,Called 7 times in tests
Tested Method,clear_order,3,Called 3 times in tests
Potential Duplicate,test_add_item_single <-> test_add_item_with_quantity,93.3,"Similarity: 93.3% (lines 21, 25)"
Potential Duplicate,test_add_item_single <-> test_add_item_multiple_different,90.0,"Similarity: 90.0% (lines 21, 29)"
Potential Duplicate,test_add_item_single <-> test_add_item_same_name_updates_quantity,88.0,"Similarity: 88.0% (lines 21, 34)"
Potential Duplicate,test_add_item_single <-> test_total_items_single,93.3,"Similarity: 93.3% (lines 21, 220)"
Potential Duplicate,test_add_item_single <-> test_total_items_multiple,86.7,"Similarity: 86.7% (lines 21, 224)"
Potential Duplicate,test_add_item_with_quantity <-> test_add_item_multiple_different,88.0,"Similarity: 88.0% (lines 25, 29)"
Potential Duplicate,test_add_item_with_quantity <-> test_add_item_same_name_updates_quantity,92.0,"Similarity: 92.0% (lines 25, 34)"
Potential Duplicate,test_add_item_with_quantity <-> test_total_items_single,90.0,"Similarity: 90.0% (lines 25, 220)"
Potential Duplicate,test_add_item_with_quantity <-> test_total_items_multiple,90.0,"Similarity: 90.0% (lines 25, 224)"
Potential Duplicate,test_add_item_multiple_different <-> test_add_item_same_name_updates_quantity,90.0,"Similarity: 90.0% (lines 29, 34)"
