Category,Name,Count,Details
Tested Method,__init__,7,Called 7 times in tests
Tested Method,add_item,35,Called 35 times in tests
Tested Method,remove_item,4,Called 4 times in tests
Tested Method,get_subtotal,7,Called 7 times in tests
Tested Method,apply_discount,5,Called 5 times in tests
Tested Method,calculate_shipping,6,Called 6 times in tests
Tested Method,calculate_tax,2,Called 2 times in tests
Tested Method,calculate_total,5,Called 5 times in tests
Tested Method,total_items,12,Called 12 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,4,Called 4 times in tests
Tested Method,clear_order,3,Called 3 times in tests
Potential Duplicate,test_add_item_single <-> test_add_item_multiple_different_items,86.7,"Similarity: 86.7% (lines 21, 33)"
Potential Duplicate,test_add_item_single <-> test_add_item_zero_quantity,100.0,"Similarity: 100.0% (lines 21, 38)"
Potential Duplicate,test_add_item_single <-> test_remove_item_existing,80.8,"Similarity: 80.8% (lines 21, 70)"
Potential Duplicate,test_add_item_single <-> test_total_items_single_item,100.0,"Similarity: 100.0% (lines 21, 164)"
Potential Duplicate,test_add_item_single <-> test_total_items_multiple_items,86.7,"Similarity: 86.7% (lines 21, 168)"
Potential Duplicate,test_add_item_multiple_quantity <-> test_add_item_multiple_different_items,90.0,"Similarity: 90.0% (lines 25, 33)"
Potential Duplicate,test_add_item_multiple_quantity <-> test_total_items_multiple_items,90.0,"Similarity: 90.0% (lines 25, 168)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_multiple_different_items,82.9,"Similarity: 82.9% (lines 29, 33)"
Potential Duplicate,test_add_item_default_quantity <-> test_total_items_multiple_items,82.9,"Similarity: 82.9% (lines 29, 168)"
Potential Duplicate,test_add_item_multiple_different_items <-> test_add_item_zero_quantity,86.7,"Similarity: 86.7% (lines 33, 38)"
