Category,Name,Count,Details
Tested Method,__init__,7,Called 7 times in tests
Tested Method,add_item,22,Called 22 times in tests
Tested Method,remove_item,2,Called 2 times in tests
Tested Method,get_subtotal,2,Called 2 times in tests
Tested Method,apply_discount,4,Called 4 times in tests
Tested Method,calculate_shipping,3,Called 3 times in tests
Tested Method,calculate_tax,2,Called 2 times in tests
Tested Method,calculate_total,6,Called 6 times in tests
Tested Method,total_items,7,Called 7 times in tests
Tested Method,list_items,2,Called 2 times in tests
Tested Method,is_empty,8,Called 8 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_add_item_multiple_quantity <-> test_add_item_updates_quantity,82.5,"Similarity: 82.5% (lines 46, 51)"
Potential Duplicate,test_add_item_updates_quantity <-> test_total_items,82.0,"Similarity: 82.0% (lines 51, 154)"
Potential Duplicate,test_add_item_invalid_price <-> test_add_item_invalid_quantity,90.0,"Similarity: 90.0% (lines 58, 63)"
Potential Duplicate,test_apply_discount_valid <-> test_apply_discount_zero,84.0,"Similarity: 84.0% (lines 91, 95)"
Potential Duplicate,test_calculate_total_with_discount_and_free_shipping <-> test_calculate_total_with_discount_losing_free_shipping,82.2,"Similarity: 82.2% (lines 144, 149)"
