Category,Name,Count,Details
Tested Method,__init__,3,Called 3 times in tests
Tested Method,add_item,16,Called 16 times in tests
Tested Method,remove_item,2,Called 2 times in tests
Tested Method,get_subtotal,4,Called 4 times in tests
Tested Method,apply_discount,3,Called 3 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,3,Called 3 times in tests
Tested Method,calculate_total,2,Called 2 times in tests
Tested Method,total_items,4,Called 4 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,5,Called 5 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_add_item_invalid_name <-> test_add_item_invalid_quantity,90.0,"Similarity: 90.0% (lines 25, 33)"
Potential Duplicate,test_add_item_invalid_price <-> test_add_item_invalid_quantity,86.7,"Similarity: 86.7% (lines 29, 33)"
Potential Duplicate,test_calculate_total_basic <-> test_calculate_total_with_discount,82.9,"Similarity: 82.9% (lines 83, 88)"
