Category,Name,Count,Details
Tested Method,__init__,4,Called 4 times in tests
Tested Method,add_item,18,Called 18 times in tests
Tested Method,remove_item,2,Called 2 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,4,Called 4 times in tests
Tested Method,calculate_shipping,3,Called 3 times in tests
Tested Method,calculate_tax,1,Called 1 times in tests
Tested Method,calculate_total,2,Called 2 times in tests
Tested Method,total_items,7,Called 7 times in tests
Tested Method,list_items,3,Called 3 times in tests
Tested Method,is_empty,6,Called 6 times in tests
Tested Method,clear_order,1,Called 1 times in tests
Potential Duplicate,test_add_item_accumulates_quantity <-> test_total_items_multiple,85.0,"Similarity: 85.0% (lines 28, 100)"
Potential Duplicate,test_apply_discount_valid <-> test_apply_discount_zero,86.7,"Similarity: 86.7% (lines 61, 65)"
Potential Duplicate,test_calculate_total_no_discount_below_threshold <-> test_calculate_total_with_discount_free_shipping,83.3,"Similarity: 83.3% (lines 89, 93)"
