Category,Name,Count,Details
Tested Method,__init__,24,Called 24 times in tests
Tested Method,add_item,37,Called 37 times in tests
Tested Method,remove_item,4,Called 4 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,9,Called 9 times in tests
Tested Method,calculate_shipping,5,Called 5 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,7,Called 7 times in tests
Tested Method,total_items,6,Called 6 times in tests
Tested Method,list_items,6,Called 6 times in tests
Tested Method,is_empty,6,Called 6 times in tests
Tested Method,clear_order,3,Called 3 times in tests
Potential Duplicate,test_init_tax_rate_zero <-> test_init_tax_rate_one,100.0,"Similarity: 100.0% (lines 18, 22)"
Potential Duplicate,test_init_tax_rate_zero <-> test_init_free_shipping_threshold_zero,100.0,"Similarity: 100.0% (lines 18, 34)"
Potential Duplicate,test_init_tax_rate_zero <-> test_init_shipping_cost_zero,100.0,"Similarity: 100.0% (lines 18, 42)"
Potential Duplicate,test_init_tax_rate_one <-> test_init_free_shipping_threshold_zero,100.0,"Similarity: 100.0% (lines 22, 34)"
Potential Duplicate,test_init_tax_rate_one <-> test_init_shipping_cost_zero,100.0,"Similarity: 100.0% (lines 22, 42)"
Potential Duplicate,test_init_free_shipping_threshold_zero <-> test_init_shipping_cost_zero,100.0,"Similarity: 100.0% (lines 34, 42)"
Potential Duplicate,test_init_free_shipping_threshold_negative_raises_value_error <-> test_init_shipping_cost_negative_raises_value_error,100.0,"Similarity: 100.0% (lines 38, 46)"
Potential Duplicate,test_add_item_default_quantity <-> test_add_item_same_name_same_price_increases_quantity,83.3,"Similarity: 83.3% (lines 72, 76)"
Potential Duplicate,test_add_item_default_quantity <-> test_total_items_multiple_items,88.0,"Similarity: 88.0% (lines 72, 295)"
Potential Duplicate,test_add_item_same_name_same_price_increases_quantity <-> test_total_items_single_item,88.0,"Similarity: 88.0% (lines 76, 291)"
