Category,Name,Count,Details
Tested Method,__init__,17,Called 17 times in tests
Tested Method,add_item,41,Called 41 times in tests
Tested Method,remove_item,5,Called 5 times in tests
Tested Method,get_subtotal,8,Called 8 times in tests
Tested Method,apply_discount,9,Called 9 times in tests
Tested Method,calculate_shipping,5,Called 5 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,8,Called 8 times in tests
Tested Method,total_items,8,Called 8 times in tests
Tested Method,list_items,5,Called 5 times in tests
Tested Method,is_empty,8,Called 8 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_init_tax_rate_at_boundaries <-> test_init_shipping_costs_at_zero,100.0,"Similarity: 100.0% (lines 23, 29)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_zero_quantity,90.0,"Similarity: 90.0% (lines 93, 105)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_negative_quantity,90.0,"Similarity: 90.0% (lines 93, 109)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_invalid_name_type,90.0,"Similarity: 90.0% (lines 93, 113)"
Potential Duplicate,test_add_item_empty_name <-> test_add_item_invalid_quantity_type,86.7,"Similarity: 86.7% (lines 93, 121)"
Potential Duplicate,test_add_item_zero_quantity <-> test_add_item_negative_quantity,86.7,"Similarity: 86.7% (lines 105, 109)"
Potential Duplicate,test_add_item_zero_quantity <-> test_add_item_invalid_name_type,86.7,"Similarity: 86.7% (lines 105, 113)"
Potential Duplicate,test_add_item_zero_quantity <-> test_add_item_invalid_quantity_type,85.0,"Similarity: 85.0% (lines 105, 121)"
Potential Duplicate,test_add_item_negative_quantity <-> test_add_item_invalid_name_type,86.7,"Similarity: 86.7% (lines 109, 113)"
Potential Duplicate,test_add_item_negative_quantity <-> test_add_item_invalid_quantity_type,85.0,"Similarity: 85.0% (lines 109, 121)"
