Category,Name,Count,Details
Tested Method,__init__,10,Called 10 times in tests
Tested Method,add_item,34,Called 34 times in tests
Tested Method,remove_item,3,Called 3 times in tests
Tested Method,get_subtotal,3,Called 3 times in tests
Tested Method,apply_discount,8,Called 8 times in tests
Tested Method,calculate_shipping,4,Called 4 times in tests
Tested Method,calculate_tax,4,Called 4 times in tests
Tested Method,calculate_total,7,Called 7 times in tests
Tested Method,total_items,7,Called 7 times in tests
Tested Method,list_items,4,Called 4 times in tests
Tested Method,is_empty,6,Called 6 times in tests
Tested Method,clear_order,2,Called 2 times in tests
Potential Duplicate,test_init_invalid_shipping_threshold <-> test_init_invalid_shipping_cost,100.0,"Similarity: 100.0% (lines 32, 36)"
Potential Duplicate,test_add_item_multiple_quantity <-> test_total_items_multiple,82.9,"Similarity: 82.9% (lines 53, 220)"
Potential Duplicate,test_add_item_invalid_name_type <-> test_add_item_empty_name,90.0,"Similarity: 90.0% (lines 63, 67)"
Potential Duplicate,test_add_item_zero_price <-> test_add_item_negative_price,90.0,"Similarity: 90.0% (lines 75, 79)"
Potential Duplicate,test_add_item_invalid_quantity_type <-> test_add_item_zero_quantity,90.0,"Similarity: 90.0% (lines 83, 87)"
Potential Duplicate,test_add_item_invalid_quantity_type <-> test_add_item_negative_quantity,90.0,"Similarity: 90.0% (lines 83, 91)"
Potential Duplicate,test_add_item_zero_quantity <-> test_add_item_negative_quantity,100.0,"Similarity: 100.0% (lines 87, 91)"
Potential Duplicate,test_get_subtotal_single_item <-> test_get_subtotal_multiple_items,88.0,"Similarity: 88.0% (lines 113, 117)"
Potential Duplicate,test_apply_discount_valid <-> test_apply_discount_zero,86.7,"Similarity: 86.7% (lines 126, 129)"
Potential Duplicate,test_apply_discount_valid <-> test_apply_discount_full,86.7,"Similarity: 86.7% (lines 126, 132)"
