Metoda,Typ,Opis scenariusza,Pokryty w testach,Komentarz
init,scenariusz,Test init_scenarios #1,1,
init,scenariusz,Test init_scenarios #2,1,
init,scenariusz,Test init_scenarios #3,1,
init,scenariusz,Test init_scenarios #4,1,
init,scenariusz,Test init_scenarios #5,1,
add_item,scenariusz,Test add_item_scenarios #1,1,
add_item,scenariusz,Test add_item_scenarios #2,1,
add_item,scenariusz,Test add_item_scenarios #3,1,
add_item,scenariusz,Test add_item_scenarios #4,1,
add_item,scenariusz,Test add_item_scenarios #5,1,
add_item,scenariusz,Test add_item_scenarios #6,1,
remove_item,scenariusz,Test remove_item_scenarios #1,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #1,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #2,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #3,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #4,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #5,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #6,1,
apply_discount,scenariusz,Test apply_discount_scenarios #1,1,
apply_discount,scenariusz,Test apply_discount_scenarios #2,1,
apply_discount,scenariusz,Test apply_discount_scenarios #3,1,
apply_discount,scenariusz,Test apply_discount_scenarios #4,1,
apply_discount,scenariusz,Test apply_discount_scenarios #5,1,
apply_discount,scenariusz,Test apply_discount_scenarios #6,1,
apply_discount,scenariusz,Test apply_discount_scenarios #7,1,
apply_discount,scenariusz,Test apply_discount_scenarios #8,1,
apply_discount,scenariusz,Test apply_discount_scenarios #9,1,
apply_discount,scenariusz,Test apply_discount_scenarios #10,1,
apply_discount,scenariusz,Test apply_discount_scenarios #11,1,
apply_discount,scenariusz,Test apply_discount_scenarios #12,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #1,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #2,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #3,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #4,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #5,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #1,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #2,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #3,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #4,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #5,1,
calculate_total,scenariusz,Test calculate_total_scenarios #1,1,
total_items,scenariusz,Test total_items_scenarios #1,1,
total_items,scenariusz,Test total_items_scenarios #2,1,
total_items,scenariusz,Test total_items_scenarios #3,1,
total_items,scenariusz,Test total_items_scenarios #4,1,
list_items,scenariusz,Test list_items_scenarios #1,1,
list_items,scenariusz,Test list_items_scenarios #2,1,
list_items,scenariusz,Test list_items_scenarios #3,1,
list_items,scenariusz,Test list_items_scenarios #4,1,
list_items,scenariusz,Test list_items_scenarios #5,1,
is_empty,scenariusz,Test is_empty_scenarios #1,1,
is_empty,scenariusz,Test is_empty_scenarios #2,1,
is_empty,scenariusz,Test is_empty_scenarios #3,1,
clear_order,scenariusz,Test clear_order_scenarios #1,1,
clear_order,scenariusz,Test clear_order_scenarios #2,1,
corner_cases,corner case,Test corner_cases #1,1,
corner_cases,corner case,Test corner_cases #2,1,
corner_cases,corner case,Test corner_cases #3,1,
corner_cases,corner case,Test corner_cases #4,1,
corner_cases,corner case,Test corner_cases #5,1,
corner_cases,corner case,Test corner_cases #6,1,
corner_cases,corner case,Test corner_cases #7,1,
corner_cases,corner case,Test corner_cases #8,1,
corner_cases,corner case,Test corner_cases #9,1,
corner_cases,corner case,Test corner_cases #10,1,
corner_cases,corner case,Test corner_cases #11,1,
corner_cases,corner case,Test corner_cases #12,1,
corner_cases,corner case,Test corner_cases #13,1,
corner_cases,corner case,Test corner_cases #14,1,
corner_cases,corner case,Test corner_cases #15,1,
corner_cases,corner case,Test corner_cases #16,1,
corner_cases,corner case,Test corner_cases #17,1,
corner_cases,corner case,Test corner_cases #18,1,
corner_cases,corner case,Test corner_cases #19,1,
corner_cases,corner case,Test corner_cases #20,1,
corner_cases,corner case,Test corner_cases #21,1,
corner_cases,corner case,Test corner_cases #22,1,
corner_cases,corner case,Test corner_cases #23,1,
corner_cases,corner case,Test corner_cases #24,1,
corner_cases,corner case,Test corner_cases #25,1,
corner_cases,corner case,Test corner_cases #26,1,
corner_cases,corner case,Test corner_cases #27,1,
corner_cases,corner case,Test corner_cases #28,1,
corner_cases,corner case,Test corner_cases #29,1,
corner_cases,corner case,Test corner_cases #30,1,
corner_cases,corner case,Test corner_cases #31,1,
corner_cases,corner case,Test corner_cases #32,1,
corner_cases,corner case,Test corner_cases #33,1,
performance_tests,scenariusz,Test performance_tests #1,1,
performance_tests,scenariusz,Test performance_tests #2,1,
precision_tests,scenariusz,Test precision_tests #1,1,
