Metoda,Typ,Opis scenariusza,Pokryty w testach,Komentarz
apply_discount,scenariusz,Test apply_discount_scenarios #1,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #1,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #2,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #1,1,
calculate_total,scenariusz,Test calculate_total_scenarios #1,1,
total_items,scenariusz,Test total_items_scenarios #1,1,
list_items,scenariusz,Test list_items_scenarios #1,1,
is_empty,scenariusz,Test is_empty_scenarios #1,1,
is_empty,scenariusz,Test is_empty_scenarios #2,1,
clear_order,scenariusz,Test clear_order_scenarios #1,1,
corner_cases,corner case,Test corner_cases #1,1,
corner_cases,corner case,Test corner_cases #2,1,
corner_cases,corner case,Test corner_cases #3,1,
corner_cases,corner case,Test corner_cases #4,1,
corner_cases,corner case,Test corner_cases #5,1,
