Metoda,Typ,Opis scenariusza,Pokryty w testach,Komentarz
init,scenariusz,Test init_scenarios #1,1,
init,scenariusz,Test init_scenarios #2,1,
add_item,scenariusz,Test add_item_scenarios #1,1,
add_item,scenariusz,Test add_item_scenarios #2,1,
add_item,scenariusz,Test add_item_scenarios #3,1,
add_item,scenariusz,Test add_item_scenarios #4,1,
add_item,scenariusz,Test add_item_scenarios #5,1,
remove_item,scenariusz,Test remove_item_scenarios #1,1,
remove_item,scenariusz,Test remove_item_scenarios #2,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #1,1,
get_subtotal,scenariusz,Test get_subtotal_scenarios #2,1,
apply_discount,scenariusz,Test apply_discount_scenarios #1,1,
apply_discount,scenariusz,Test apply_discount_scenarios #2,1,
apply_discount,scenariusz,Test apply_discount_scenarios #3,1,
apply_discount,scenariusz,Test apply_discount_scenarios #4,1,
apply_discount,scenariusz,Test apply_discount_scenarios #5,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #1,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #2,1,
calculate_shipping,scenariusz,Test calculate_shipping_scenarios #3,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #1,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #2,1,
calculate_tax,scenariusz,Test calculate_tax_scenarios #3,1,
list_items,scenariusz,Test list_items_scenarios #1,1,
clear_order,scenariusz,Test clear_order_scenarios #1,1,
corner_cases,corner case,Test corner_cases #1,1,
corner_cases,corner case,Test corner_cases #2,1,
corner_cases,corner case,Test corner_cases #3,1,
corner_cases,corner case,Test corner_cases #4,1,
corner_cases,corner case,Test corner_cases #5,1,
corner_cases,corner case,Test corner_cases #6,1,
corner_cases,corner case,Test corner_cases #7,1,
corner_cases,corner case,Test corner_cases #8,1,
corner_cases,corner case,Test corner_cases #9,1,
corner_cases,corner case,Test corner_cases #10,1,
corner_cases,corner case,Test corner_cases #11,1,
