model,strategy,context,run_id,config_key,result_dir,context_type,timestamp,response_time,compilation_success_rate,execution_success_rate,tests_generated,tests_passed,tests_failed,test_success_rate,statement_coverage,branch_coverage,missing_statements,total_statements,mutation_score,mutants_killed,mutants_survived,total_mutants,total_test_methods,total_assertions,tests_with_error_handling,average_test_length,has_setup_teardown,tests_with_multiple_assertions,methods_tested_count,total_methods,method_coverage_rate,duplicate_tests_found,avg_assertions_per_test,assertion_quality_score,weak_assertions_count,strong_assertions_count,exception_quality_score,exception_tests_count,tests_with_message_check,independence_score,is_independent,naming_quality_score,average_name_length,smell_score,total_smells_found,overall_quality_score
gemini-3-pro,simple_prompting,interface_docstring,1,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_001,interface_docstring,2025-12-30T08:32:37.682701,51.63921141624451,100,100,52,52,0,100.0,99.0,98.0,1.0,93.0,37.8,82.0,110.0,217.0,52,60,25,4.3,True,8,12,12,100.0,0,1.15,75.9,7,22,0.0,30,0,100,True,73.1,30.0,100,0,74.9
gemini-3-pro,simple_prompting,interface_docstring,2,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_002,interface_docstring,2025-12-30T08:45:54.095485,44.02393841743469,100,100,41,41,0,100.0,99.0,98.0,1.0,93.0,12.9,28.0,75.0,217.0,41,64,16,4.9,True,11,12,12,100.0,0,1.56,82.9,6,29,0.0,29,0,100,True,75.6,27.5,100,0,77.1
gemini-3-pro,simple_prompting,interface_docstring,3,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_003,interface_docstring,2025-12-30T09:01:02.845388,55.17053747177124,100,100,44,44,0,100.0,99.0,98.0,1.0,93.0,26.7,58.0,130.0,217.0,44,62,22,4.8,True,14,12,12,100.0,0,1.41,77.4,7,24,0.0,31,0,100,True,79.5,29.3,80,1,73.3
gemini-3-pro,simple_prompting,interface_docstring,4,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_004,interface_docstring,2025-12-30T09:14:39.356939,49.45487976074219,100,100,46,46,0,100.0,99.0,98.0,1.0,93.0,39.6,86.0,111.0,217.0,46,66,22,5.0,True,14,12,12,100.0,0,1.43,82.9,6,29,0.0,31,0,100,True,78.3,28.9,100,0,77.5
gemini-3-pro,simple_prompting,interface_docstring,5,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_005,interface_docstring,2025-12-30T09:28:38.574464,53.29029607772827,100,100,35,35,0,100.0,96.0,95.0,3.0,93.0,26.7,58.0,130.0,217.0,35,65,19,5.3,True,16,12,12,100.0,0,1.86,83.3,6,30,0.0,29,0,100,True,74.3,25.8,100,0,77.0
gemini-3-pro,simple_prompting,interface_docstring,6,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_006,interface_docstring,2025-12-30T09:43:13.866003,48.49754190444946,100,100,44,44,0,100.0,99.0,98.0,1.0,93.0,2.3,5.0,38.0,217.0,44,66,22,4.8,True,16,12,12,100.0,0,1.5,85.7,5,30,0.0,31,0,100,True,75.0,28.9,80,1,74.7
gemini-3-pro,simple_prompting,interface_docstring,7,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_007,interface_docstring,2025-12-30T09:56:50.063009,76.60406017303467,100,100,42,42,0,100.0,99.0,98.0,1.0,93.0,4.6,10.0,40.0,217.0,42,59,22,4.7,True,14,12,12,100.0,0,1.4,80.8,5,21,0.0,31,0,100,True,73.8,28.7,100,0,76.3
gemini-3-pro,simple_prompting,interface_docstring,8,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_008,interface_docstring,2025-12-30T10:12:21.279179,49.042930364608765,100,100,38,38,0,100.0,99.0,98.0,1.0,93.0,50.7,110.0,107.0,217.0,38,68,18,5.3,True,18,12,12,100.0,0,1.79,78.4,8,29,0.0,31,0,100,True,76.3,28.9,100,0,76.0
gemini-3-pro,simple_prompting,interface_docstring,9,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_009,interface_docstring,2025-12-30T10:26:33.276685,47.25431776046753,100,100,42,42,0,100.0,99.0,98.0,1.0,93.0,7.4,16.0,55.0,217.0,42,62,21,4.8,True,15,12,12,100.0,0,1.48,78.1,7,25,0.0,30,0,100,True,78.6,28.0,100,0,76.3
gemini-3-pro,simple_prompting,interface_docstring,10,gemini-3-pro_simple_prompting_interface_docstring,cli_results\simple_prompting\interface_docstring\gemini-3-pro\run_010,interface_docstring,2025-12-30T10:41:05.885583,59.243361711502075,100,100,47,47,0,100.0,93.0,91.0,5.0,93.0,24.9,54.0,134.0,217.0,47,55,26,4.2,True,6,12,12,100.0,0,1.17,79.3,6,23,0.0,26,0,100,True,78.7,29.9,100,0,76.6
