Metoda,Typ,Opis scenariusza,Pokryty w testach,Komentarz
init,corner case,tax_rate > 1.0,1,
init,corner case,tax_rate < 0.0,1,
init,corner case,free_shipping_threshold < 0.0,1,
init,corner case,shipping_cost < 0.0,1,
add_item,scenariusz,dodanie poprawnego produktu,1,"sprawdza to bardzo dokładnie, porównuje z elementem dict zaincjowanym własnoręcznie"
get_subtotal,scenariusz,test precyzji obliczeń,"",
add_item,scenariusz,ten sam produkt 2 razy (identyczna cena),1,"sprawdza to bardzo dokładnie, porównuje z elementem dict zaincjowanym własnoręcznie"
add_item,scenariusz,bardzo długa nazwa produktu,"",
add_item,corner case,quantity <= 0,1,
add_item,corner case,price <= 0,1,
add_item,corner case,"name="""" (pusty)",1,
add_item,corner case,ten sam produkt 2 razy (różna cena),1,
remove_item,scenariusz,usunięcie pojedynczego / wielu produktów,1,
remove_item,corner case,usunięcie nieistniejącego produktu,1,
apply_discount,scenariusz,poprawna zniżka,1,sprawdza edge case 1.0 i 0.0
apply_discount,corner case,discount < 0,1,
apply_discount,corner case,discount > 1,1,
apply_discount,corner case,subtotal < 0.0,1,
calculate_shipping,scenariusz,darmowa wysyłka,1,
calculate_shipping,scenariusz,koszt wysyłki,1,sprawdza edge case z liczeniem wysyłki gdy cena równa shipping threshold
calculate_tax,scenariusz,poprawny podatek,1,sprawdza edge case  liczeniem dla 0.0
calculate_total,scenariusz,poprawne obliczenie sumy,1,""
calculate_total,scenariusz,test precyzji obliczeń,1,
total_items,scenariusz,poprawne zwracanie ilości gdy len(items) > 0,1,
list_items,scenariusz,poprawne wypisywanie listy produktów,1,
list_items,scenariusz,poprawna zmiana rezultatu po dodaniu / usunięciu produktu,1,
is_empty,scenariusz,sprawdzanie czy koszyk pusty,1,
apply_discount,scenariusz,test precyzji obliczeń,"",
init,scenariusz,test wydajności (ekstremalna liczba items),"",
add_item,scenariusz,test wydajności (wielokrotne dodawania produktu/ów),"",
remove_item,scenariusz,test wydajności (wielokrotne usuwanie produktu/ów),"",
init,scenariusz,poprawna inicjalizacja z własnymi wartościami,1,""
add_item,corner case,nieoczekiwany typ name,1,
init,corner case,nieoczekiwany typ tax_rate,1,
remove_item,corner case,nieoczekiwany typ name,1,
apply_discount,corner case,nieoczekiwany typ subtotal,1,
calculate_shipping,corner case,nieoczekiwany typ discounted_subtotal,1,
calculate_tax,corner case,nieoczekiwany typ amount,1,
calculate_total,corner case,nieoczekiwany typ discount,1,
init,corner case,nieoczekiwany typ free_shipping_threshold,1,
init,corner case,nieoczekiwany typ shipping_cost,1,
add_item,corner case,nieoczekiwany typ price,1,
add_item,corner case,nieoczekiwany typ quantity,1,
apply_discount,corner case,nieoczekiwany typ discount,1,
init,scenariusz,domyślna inicjalizacja,1,
total_items,scenariusz,poprawne zwracanie gdy items puste,1,
get_subtotal,scenariusz,poprawne obliczanie,1,
get_subtotal,scenariusz,subtotal na pustym zamówieniu,1,
calculate_tax,corner case,amount < 0.0,1,
clear_order,scenariusz,czyszczenie koszyka,1,
is_empty,scenariusz,sprawdzenie czy koszyk NIE jest pusty po dodaniu item,1,
calculate_total,scenariusz,poprawne obliczanie sumy ze zniżką bez shipping,1,
calculate_total,scenariusz,poprawne obliczanie sumy ze zniżką i shipping,1,
calculate_total,scenariusz,poprawne obliczeanie sumy dla pustego order,1,
